ID,POS,#,Name,DOB,Age,NAT,HT,WT,B,T,OVR,POT,LEA,LOY,AD,GRE,WE,INT,Type,Prone,CON P,GAP P,POW P,EYE P,K P,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KCP,KNP,PIT,G/F,VELO,Slot,PT,STM,HLD,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
57988,CL,38,Chris Flores,01/17/2008,21,USA,"6' 2""",190 lbs,Right,Right,20,80,Normal,Low,Normal,Normal,Normal,Normal,Unknown,Normal,25,30,20,30,30,75,65,50,75,75,-,-,-,-,-,-,-,-,-,-,2,NEU,95-97 Mph,Normal (3/4),Power,45,50,20,20,30,25,45,25,20,40,40,25,20,20,$4.2m,Normal,Very High
57297,CF,19,MIKE GERAGHTY,05/18/2011,18,USA,"6' 2""",175 lbs,Left,Right,20,80,Low,Low,High,High,Low,Normal,Unknown,Normal,80,80,65,60,70,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,20,25,45,25,55,45,50,45,45,50,$1.7m,Extremely Hard,Very High
27388,2B,89,DEVIN MARAH,07/21/2009,19,USA,"6' 0""",175 lbs,Right,Right,20,80,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,80,75,55,60,60,20,25,20,25,-,-,-,-,-,-,-,-,-,-,-,1,NEU,84-86 Mph,Normal (3/4),Normal,20,20,20,25,65,55,45,60,50,60,35,55,50,50,$3.2m,Easy,Very High
57147,3B,12,KEVIN OLDROYD,10/16/2010,18,USA,"6' 3""",185 lbs,Left,Right,20,80,High,Normal,Normal,High,Normal,Normal,Unknown,Durable,80,60,70,60,70,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,25,50,45,60,35,20,45,65,35,35,40,$1.9m,Extremely Hard,Very High
19872,LF,17,JONATHAN PAINTER,10/27/2006,22,USA,"6' 5""",220 lbs,Right,Right,20,80,High,Normal,Normal,Normal,Normal,High,Unknown,Durable,75,70,60,70,50,45,45,50,60,60,-,-,-,-,55,-,-,-,-,-,3,NEU,93-95 Mph,Sidearm,Normal,55,35,20,25,40,35,40,25,45,60,55,40,55,55,$1.4m,Very Easy,Very High
57973,SP,5,BOBBY WALKER,07/28/2010,18,USA,"6' 0""",170 lbs,Left,Left,20,80,Normal,Normal,Normal,Low,Normal,Low,Unknown,Normal,35,35,20,20,50,65,65,65,65,75,-,65,-,-,-,-,-,-,-,-,3,NEU,89-91 Mph,Normal (3/4),Normal,75,60,20,20,20,25,35,20,40,25,35,30,30,40,$7.5m,Hard,Very High
57413,1B,87,SERGIO CANO,11/07/2010,18,PUR,"6' 5""",200 lbs,Left,Left,20,75,Normal,Normal,Normal,Low,High,Normal,Unknown,Durable,75,65,75,50,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Over the Top,Normal,20,20,20,20,40,30,30,25,30,20,30,30,35,20,$2.0m,Hard,Very High
57238,SP,20,JOEL GARA,11/21/2010,18,USA,"6' 6""",190 lbs,Left,Left,20,75,Normal,Normal,Normal,Normal,Normal,High,Unknown,Normal,35,40,20,40,55,65,60,60,70,75,-,70,-,-,-,-,-,-,-,-,3,GB,91-93 Mph,Normal (3/4),GB'er,75,75,20,25,25,30,65,20,50,30,35,25,35,35,$7.5m,Extremely Hard,Very High
57958,C,17,LEO MENDEZ,10/15/2007,21,USA,"6' 4""",205 lbs,Right,Right,20,75,Low,Low,Normal,High,Low,Normal,Unknown,Normal,55,55,50,80,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Over the Top,Normal,20,20,50,50,35,35,45,45,50,25,45,25,25,25,$420k,Hard,Very High
57789,SP,18,DAVE MURRAY,11/28/2007,21,USA,"5' 10""",175 lbs,Right,Right,20,75,Normal,Normal,Normal,Normal,Normal,Low,Unknown,Durable,25,30,20,25,25,65,70,50,-,80,-,50,-,-,50,70,-,-,-,-,4,GB,95-97 Mph,Normal (3/4),GB'er,65,45,20,20,30,40,55,20,30,30,35,20,20,35,$8.5m,Hard,Very High
57920,1B,17,DAN COOK,08/20/2007,21,USA,"6' 4""",220 lbs,Left,Right,20,70,Normal,Normal,Normal,Low,Normal,Normal,Unknown,Normal,70,70,70,50,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,80-83 Mph,Normal (3/4),Normal,20,20,25,20,40,35,35,30,35,25,25,25,30,20,$370k,Very Easy,Very High
58116,SS,19,RODOLFO JAUREGUI,01/16/2008,21,USA,"6' 1""",175 lbs,Right,Right,20,70,Normal,High,Normal,High,Normal,High,Unknown,Normal,70,65,55,55,60,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,80-83 Mph,Normal (3/4),Normal,20,20,25,20,55,75,50,65,30,55,60,65,60,45,$5.5m,Normal,Very High
57243,SP,89,MIKE THOMPSON,05/19/2010,19,USA,"6' 6""",185 lbs,Right,Left,20,70,Normal,Normal,High,Normal,Normal,Low,Unknown,Durable,45,30,20,25,65,60,65,65,-,75,-,35,45,-,-,60,-,-,-,-,4,EX GB,90-92 Mph,Normal (3/4),GB'er,50,75,20,25,25,30,50,20,20,30,30,35,30,30,$4.8m,Hard,Very High
28511,SP,26,SHANE TURNER,11/05/2007,21,USA,"6' 1""",190 lbs,Right,Right,20,70,Normal,Normal,High,Normal,High,Normal,Unknown,Durable,30,30,25,25,30,60,55,65,-,65,-,65,-,-,70,-,-,-,-,-,3,NEU,95-97 Mph,Normal (3/4),Normal,60,65,25,25,25,35,50,40,35,20,35,25,20,30,$6.5m,Easy,Very High
57971,SP,57,MIKE ADAMS,07/28/2010,18,USA,"6' 8""",200 lbs,Left,Left,20,65,Normal,High,High,Low,High,Normal,Unknown,Normal,35,30,25,20,50,50,50,70,65,60,-,60,-,-,-,-,-,-,-,-,3,NEU,89-91 Mph,Normal (3/4),Finesse,65,70,20,20,30,25,50,20,35,35,30,30,20,25,$2.6m,Hard,Very High
57185,SP,21,VINNY FLORES,08/16/2010,18,USA,"6' 7""",200 lbs,Right,Right,20,65,Low,High,Normal,Normal,Normal,Normal,Unknown,Durable,35,30,25,35,45,55,65,55,70,45,-,70,-,60,-,-,-,-,-,-,4,NEU,95-97 Mph,Normal (3/4),Power,55,60,20,20,25,25,50,20,25,30,25,20,25,20,$2.2m,Extremely Hard,Very High
57869,CF,24,SHEMAR MONROE,01/15/2011,18,USA,"6' 2""",180 lbs,Right,Right,20,65,Low,Low,Low,High,Low,High,Unknown,Normal,70,70,65,50,60,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Over the Top,Normal,20,20,20,20,55,40,35,45,60,45,45,45,30,35,$1.0m,Extremely Hard,Very High
58733,SP,99,STEVE RUDD,07/24/2011,17,USA,"6' 6""",200 lbs,Right,Right,20,65,Normal,Normal,Normal,Normal,High,High,Unknown,Normal,40,30,25,20,50,55,70,50,55,80,40,-,-,-,-,-,-,-,-,-,3,GB,93-95 Mph,Normal (3/4),GB'er,65,50,20,20,30,35,35,25,25,30,50,25,25,25,$9.0m,Extremely Hard,Very High
57280,SP,12,ALEX AGUIRRE,07/27/2010,18,USA,"6' 5""",190 lbs,Switch,Right,20,60,Normal,High,High,Low,High,Normal,Unknown,Normal,35,30,25,25,50,50,60,60,70,50,-,60,-,-,-,-,-,-,-,-,3,NEU,93-95 Mph,Over the Top,Normal,75,65,20,20,25,25,45,20,40,25,30,20,25,20,$2.2m,Extremely Hard,Very High
57206,SP,45,FRANKLIN CARILLO,06/29/2010,18,USA,"6' 5""",185 lbs,Right,Right,20,60,Low,High,Normal,Normal,High,Normal,Unknown,Normal,35,30,25,20,50,55,60,55,60,70,70,-,-,-,-,-,-,-,-,-,3,GB,92-94 Mph,Normal (3/4),GB'er,65,25,20,20,30,35,50,25,25,25,25,20,20,25,$9.0m,Extremely Hard,Very High
30514,SP,24,Josh Gonzalez,09/24/2010,18,USA,"6' 1""",175 lbs,Right,Right,20,60,Normal,Normal,Normal,High,Normal,Normal,Unknown,Normal,25,25,20,20,25,50,60,65,65,-,65,60,-,-,-,-,-,-,-,-,3,NEU,93-95 Mph,Normal (3/4),Normal,65,25,20,20,25,35,50,30,50,25,30,25,20,30,$1.9m,Hard,Very High
47588,SP,2,JOSH HOOLIHAN,12/17/2007,21,USA,"6' 4""",205 lbs,Right,Right,20,60,Normal,Low,High,Low,Normal,Normal,Unknown,Normal,30,30,25,20,35,55,55,55,60,40,45,50,55,55,-,-,-,-,-,-,6,NEU,99-101 Mph,Normal (3/4),Normal,55,40,20,20,30,35,50,25,35,40,45,30,20,20,$6.5m,Normal,Very High
57877,SP,40,Jeremy Jolin,09/15/2011,17,USA,"6' 7""",195 lbs,Right,Right,20,60,Normal,Normal,Normal,Normal,High,High,Unknown,Durable,25,30,25,20,30,45,70,65,50,75,-,-,55,-,-,-,-,-,-,-,3,EX GB,86-88 Mph,Normal (3/4),GB'er,55,60,20,25,30,25,45,30,30,25,25,25,20,25,$5.5m,Extremely Hard,Very High
57363,CF,5,MIKE SNYDER,05/31/2010,18,USA,"6' 5""",175 lbs,Right,Right,20,60,Normal,Normal,Normal,Low,High,Normal,Unknown,Normal,65,75,60,55,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,40,30,40,35,55,40,45,65,45,45,$750k,Extremely Hard,Very High
57938,SP,14,JON WOOD,01/20/2008,21,USA,"6' 4""",200 lbs,Right,Right,20,60,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,25,25,25,25,35,55,55,65,70,65,65,-,-,-,-,45,-,-,-,-,4,GB,93-95 Mph,Normal (3/4),GB'er,40,45,20,20,35,30,55,20,25,25,35,25,25,20,$5.5m,Hard,Very High
57080,LF,16,CHRIS ALLEN,08/31/2010,18,USA,"6' 6""",200 lbs,Right,Right,20,55,Normal,Normal,High,Normal,Normal,Normal,Unknown,Durable,75,75,60,45,65,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Over the Top,Normal,20,20,20,20,30,30,55,25,35,40,65,20,20,20,$1.1m,Extremely Hard,Very High
36108,C,10,MEL ANTONIO,01/27/2007,22,CUB,"5' 10""",185 lbs,Left,Right,20,55,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,55,50,55,50,60,20,20,20,30,-,-,-,-,-,-,-,-,-,-,-,1,NEU,84-86 Mph,Normal (3/4),Normal,20,20,60,40,30,40,35,25,20,25,30,40,25,30,Slot,Very Easy,Very High
58710,SP,29,Bob Cappetta,11/29/2010,18,USA,"5' 10""",165 lbs,Right,Right,20,55,Normal,Normal,Normal,Normal,Normal,Low,Unknown,Normal,35,25,20,25,40,45,70,60,65,40,60,-,-,-,-,-,-,-,-,-,3,NEU,96-98 Mph,Over the Top,Power,55,50,20,20,30,25,50,25,25,35,40,20,20,20,$8.0m,Hard,Very High
58699,SP,23,JORGE DIAZ,02/19/2007,22,PUR,"6' 0""",185 lbs,Left,Right,35,55,Normal,Normal,High,Normal,High,Normal,Unknown,Durable,45,35,20,25,55,50,60,60,-,45,-,60,-,-,60,65,-,-,-,-,4,NEU,94-96 Mph,Over the Top,Normal,65,70,20,20,30,25,60,25,35,35,30,40,35,30,$5.5m,Normal,Very High
58042,SP,26,JEREMY FLORES,01/02/2008,21,USA,"6' 2""",190 lbs,Left,Left,20,55,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,35,35,25,25,45,50,65,55,-,70,-,60,-,-,65,-,-,-,-,-,3,GB,93-95 Mph,Normal (3/4),GB'er,70,55,20,25,30,30,55,20,25,30,20,25,20,25,$4.6m,Normal,Very High
57416,RF,17,Sean Hammer,07/09/2011,17,USA,"6' 6""",195 lbs,Left,Right,20,55,Low,Normal,Low,Low,Low,Normal,Unknown,Normal,65,75,65,50,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,40,30,55,30,25,40,55,30,45,55,$850k,Extremely Hard,Very High
24766,SP,19,RICKY LARA,02/07/2007,22,USA,"6' 2""",200 lbs,Right,Right,20,55,Normal,High,Normal,Normal,Normal,High,Unknown,Durable,30,30,25,25,40,50,50,60,65,60,-,40,60,-,-,-,-,-,-,-,4,NEU,94-96 Mph,Over the Top,Normal,70,40,20,20,35,35,45,20,45,35,35,20,20,20,$2.8m,Easy,Very High
24261,SP,13,BILLY LUNDQUIST,06/08/2011,17,USA,"6' 1""",180 lbs,Left,Left,20,55,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Durable,30,30,20,25,50,50,50,60,55,75,55,-,-,-,-,45,-,-,-,-,4,NEU,90-92 Mph,Normal (3/4),Normal,65,65,20,25,25,25,40,20,40,25,20,20,25,20,$470k,Normal,Very High
57930,SP,6,Jim Minnick,03/06/2008,21,USA,"6' 0""",180 lbs,Left,Left,20,55,Normal,Low,Low,Normal,Low,Low,Unknown,Normal,25,25,30,25,25,50,60,55,55,60,65,-,-,55,-,-,-,-,-,-,4,NEU,88-90 Mph,Normal (3/4),Normal,65,55,20,20,30,30,30,20,25,30,40,30,20,30,$1.1m,Normal,Very High
57832,SP,21,Eric Nolen,01/19/2011,18,USA,"6' 2""",170 lbs,Right,Right,20,55,Normal,Normal,Normal,Low,High,Normal,Unknown,Normal,35,30,25,30,45,45,65,60,50,70,-,-,60,-,-,-,-,-,-,-,3,GB,89-91 Mph,Normal (3/4),GB'er,50,55,20,20,25,30,45,20,35,25,30,20,30,30,$850k,Extremely Hard,Very High
57393,SP,35,JIMMY ROBINSON,11/07/2010,18,USA,"6' 4""",190 lbs,Right,Right,20,55,Low,Low,Normal,High,Normal,High,Unknown,Normal,35,30,20,20,50,45,75,70,-,-,60,60,65,-,-,-,-,-,-,-,3,EX GB,88-90 Mph,Normal (3/4),GB'er,40,60,20,20,20,25,65,20,35,20,25,20,20,35,$2.2m,Extremely Hard,Very High
59647,SP,1,RAMON ROYBAL,09/12/2006,22,USA,"6' 2""",210 lbs,Switch,Right,20,55,Normal,Normal,High,Normal,Normal,High,Unknown,Durable,25,25,25,25,30,50,60,55,60,45,50,55,-,-,60,-,-,-,-,-,5,NEU,96-98 Mph,Normal (3/4),Power,55,55,20,25,35,30,50,25,35,35,55,20,20,25,$480k,Very Easy,Very High
58064,CF,10,BOBBY RUYLE,11/21/2010,18,USA,"6' 3""",175 lbs,Right,Right,20,55,Normal,Normal,Normal,Normal,Normal,Low,Unknown,Normal,65,65,55,55,60,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,50,40,55,40,55,40,65,60,50,45,$800k,Normal,Very High
57356,RP,2,Jose Tamargo,04/04/2011,18,USA,"6' 3""",180 lbs,Left,Left,20,55,Low,Normal,High,Normal,Normal,Normal,Unknown,Normal,30,30,20,20,45,60,65,60,55,60,-,70,-,-,-,-,-,-,-,-,3,GB,87-89 Mph,Over the Top,GB'er,35,55,20,20,30,30,45,20,45,35,35,20,20,25,Slot,Hard,Very High
58025,1B,12,PHIL TARBUSH,08/07/2007,21,USA,"6' 4""",210 lbs,Right,Right,20,55,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,55,75,60,60,50,45,60,45,70,20,60,-,-,-,-,-,-,-,-,-,3,GB,96-98 Mph,Normal (3/4),Power,55,65,20,20,40,30,30,30,35,30,30,35,30,20,$250k,Easy,Very High
57962,3B,11,Eric Webb,11/08/2010,18,USA,"6' 0""",170 lbs,Right,Right,20,55,Low,Normal,High,Normal,High,Normal,Unknown,Durable,65,65,55,45,70,20,20,25,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,25,50,50,65,45,30,45,65,65,60,45,$600k,Normal,Very High
58668,SP,43,JEFF WILTSHIRE,01/01/2008,21,USA,"6' 4""",200 lbs,Left,Right,20,55,Normal,Normal,High,Normal,Normal,High,Unknown,Normal,40,30,20,25,50,50,60,60,60,65,-,-,-,-,65,50,-,-,-,-,4,NEU,95-97 Mph,Normal (3/4),Power,55,30,20,20,35,30,50,20,40,35,20,20,25,20,$5.0m,Very Easy,Very High
52263,3B,20,Don Allain,09/02/2008,20,CAN,"6' 0""",185 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,High,Normal,Unknown,Normal,60,45,55,50,50,20,25,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,84-86 Mph,Normal (3/4),Normal,20,20,20,20,50,50,75,45,50,50,70,45,35,40,$310k,Hard,Very High
58714,CL,17,Raul Barrera,11/28/2007,21,USA,"6' 0""",190 lbs,Left,Right,20,50,Normal,Normal,Normal,Low,Normal,High,Unknown,Normal,25,30,25,25,35,65,60,50,75,-,55,-,-,-,-,-,-,-,-,-,2,NEU,97-99 Mph,Normal (3/4),Power,25,20,20,20,25,40,55,25,45,40,40,30,20,20,$170k,Easy,Very High
57943,SP,15,Steve Bassett,07/07/2007,21,USA,"6' 2""",195 lbs,Switch,Right,20,50,Normal,Low,Normal,Normal,Normal,Normal,Unknown,Durable,30,30,25,25,40,50,60,45,60,65,-,-,-,-,65,-,-,-,-,-,3,GB,94-96 Mph,Normal (3/4),GB'er,65,25,20,25,25,35,55,30,40,40,30,25,25,30,$950k,Very Easy,Very High
57119,RF,29,Rusty Bell,10/10/2011,17,USA,"6' 7""",205 lbs,Left,Left,20,50,Normal,Normal,High,Normal,Normal,Normal,Unknown,Durable,75,60,60,40,75,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,30,30,60,20,25,45,70,25,45,30,$550k,Extremely Hard,Very High
58041,SS,3,Alex Betancourt,11/20/2007,21,PUR,"6' 3""",200 lbs,Left,Right,25,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,75,65,20,30,75,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,65,55,55,55,55,50,55,60,65,70,$280k,Normal,Very High
58740,SP,10,Jake Bowser,08/30/2010,18,USA,"6' 5""",200 lbs,Switch,Right,20,50,Normal,Normal,Low,Normal,Normal,Normal,Unknown,Normal,30,30,25,25,40,50,60,50,60,-,-,40,-,60,-,65,-,-,-,-,4,GB,93-95 Mph,Normal (3/4),GB'er,75,50,20,20,30,30,50,20,40,35,30,25,20,20,$4.8m,Extremely Hard,Very High
58678,SP,11,Jake Byrnes,05/09/2007,22,USA,"6' 0""",185 lbs,Right,Right,20,50,Normal,High,Normal,Low,Normal,Normal,Unknown,Durable,25,30,20,25,30,55,65,40,70,-,60,70,-,-,-,-,-,-,-,-,3,GB,96-98 Mph,Over the Top,Power,75,55,20,25,40,30,55,25,40,50,45,20,20,25,$4.4m,Normal,Very High
57257,SP,70,Jared De Geest,11/18/2011,17,USA,"6' 4""",185 lbs,Left,Left,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,30,35,20,20,45,55,45,45,-,40,65,-,-,-,65,-,-,-,-,-,3,NEU,89-91 Mph,Over the Top,Normal,60,60,20,20,35,25,50,20,50,35,25,20,20,20,Slot,Extremely Hard,Very High
41084,CF,44,NATE GODFREY,03/16/2008,21,USA,"5' 10""",160 lbs,Right,Right,20,50,Normal,Normal,High,Normal,High,Normal,Unknown,Durable,70,60,55,40,70,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,EX FB,80-83 Mph,Normal (3/4),Normal,20,20,20,25,40,30,40,30,60,45,55,70,55,50,$600k,Normal,Very High
48509,SP,9,IAN HERRING,03/22/2006,23,USA,"6' 4""",205 lbs,Right,Right,20,50,Low,Low,Normal,Normal,Normal,Normal,Unknown,Durable,35,30,20,25,50,45,65,60,-,55,55,-,65,-,-,-,-,-,-,-,3,GB,93-95 Mph,Normal (3/4),GB'er,50,65,20,20,40,30,55,30,30,45,55,25,20,30,$440k,Very Easy,Very High
57320,3B,94,Tyler Lakey,09/29/2011,17,USA,"6' 0""",170 lbs,Right,Right,20,50,Normal,Normal,Normal,Normal,Normal,Normal,Unknown,Normal,60,55,65,45,55,20,20,20,25,-,-,-,-,-,-,-,-,-,-,-,1,FB,80-83 Mph,Normal (3/4),Normal,20,20,20,20,50,45,55,45,35,40,50,30,35,40,$650k,Extremely Hard,Very High
57846,SP,31,Alex Mata,06/28/2008,20,USA,"6' 0""",180 lbs,Right,Right,20,50,Normal,Normal,Normal,Low,Normal,Normal,Unknown,Durable,30,30,20,30,45,55,40,55,70,65,-,-,-,-,-,-,-,-,65,-,3,NEU,96-98 Mph,Sidearm,Power,50,70,20,20,35,30,45,20,40,25,20,35,20,35,$1.3m,Hard,Very High
