ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
52426,SP,GEOFF TOWNSLEY,,-,-,-,-,05/12/2006,21,USA,"6' 6""",220 lbs,Switch,Right,20,50,High
56579,SP,TIM HECK,,-,-,-,-,10/02/2009,18,USA,"5' 10""",155 lbs,Left,Left,20,40,Very High
56914,SP,CHAD JACKSON,,-,-,-,-,11/26/2006,21,USA,"6' 2""",190 lbs,Right,Right,20,35,Very High
56409,SP,JOSH JENKINS,,-,-,-,-,10/16/2010,17,USA,"6' 2""",175 lbs,Right,Right,20,35,Very High
56478,SP,MIKE BATEMAN,,-,-,-,-,06/30/2010,17,USA,"6' 9""",200 lbs,Right,Right,20,30,Very High
56834,CF,KEN CHAPMAN,,-,-,-,-,03/26/2006,22,USA,"6' 4""",195 lbs,Right,Right,20,30,Very High
24141,SP,BILL COWLEY,,-,-,-,-,06/22/2006,21,CAN,"6' 2""",195 lbs,Left,Right,20,30,High
56953,SP,RANDY COX,,-,-,-,-,07/24/2006,21,USA,"6' 1""",190 lbs,Right,Right,20,30,Very High
56761,SS,RON ROBINSON,,-,-,-,-,04/05/2006,22,USA,"6' 1""",180 lbs,Right,Right,20,30,Very High
56822,SP,TIM WAGGONER,,-,-,-,-,03/28/2006,22,USA,"6' 2""",200 lbs,Right,Right,20,30,Very High
56664,CF,JEFF DENTON,,-,-,-,-,07/17/2009,18,USA,"6' 4""",185 lbs,Left,Left,20,25,Very High
57039,SP,JOE HUFSTETLER,,-,-,-,-,09/17/2006,21,USA,"6' 0""",190 lbs,Right,Right,20,25,High
56566,2B,BOBBY RUSHING,,-,-,-,-,10/19/2009,18,USA,"6' 4""",185 lbs,Switch,Right,20,25,High
44258,CF,MIKE SPAULDING,,-,-,-,-,11/28/2006,21,USA,"6' 1""",190 lbs,Right,Right,20,25,Very High
56900,SP,ERIK THIEMANN,,-,-,-,-,09/08/2006,21,USA,"6' 8""",225 lbs,Switch,Right,20,25,High
56759,C,SEAN BERKOVIC,,-,-,-,-,07/10/2009,18,USA,"6' 2""",190 lbs,Switch,Right,20,20,Very High
56890,C,NATE BROCK,,-,-,-,-,10/04/2006,21,USA,"5' 10""",180 lbs,Right,Right,20,20,Very High
37947,SP,ERIC DURKEE,,-,-,-,-,07/06/2006,21,USA,"6' 2""",195 lbs,Right,Right,20,20,Very High
56879,C,JOEL INGERSON,,-,-,-,-,12/25/2006,21,USA,"6' 2""",200 lbs,Right,Right,20,20,Very High
56863,SP,STEVE KUKULA,,-,-,-,-,09/07/2006,21,USA,"6' 6""",205 lbs,Left,Left,20,20,Very High
51567,C,MARC MAYVILLE,,-,-,-,-,11/30/2005,22,USA,"6' 0""",200 lbs,Switch,Right,20,20,High
56741,C,MIKE REED,,-,-,-,-,03/16/2006,22,USA,"6' 1""",195 lbs,Right,Right,20,20,High
48486,C,DUSTIN ROOP,,-,-,-,-,07/06/2006,21,CAN,"5' 11""",195 lbs,Right,Right,20,20,High
48524,SP,ANDREW SIMMONDS,,-,-,-,-,05/11/2006,21,CAN,"6' 5""",215 lbs,Switch,Right,20,20,High
56976,C,SEAN SOSNOWSKI,,-,-,-,-,03/18/2006,22,USA,"6' 6""",230 lbs,Right,Right,20,20,High
57691,C,LEO TALLET,,-,-,-,-,01/03/2007,21,CAN,"6' 0""",195 lbs,Right,Right,20,20,High
48450,SP,DAVE VAN FOSSEN,,-,-,-,-,10/28/2007,20,USA,"5' 11""",180 lbs,Right,Right,20,20,High
