ID,POS,Name,Inf,TM,ORG,LG,Lev,DOB,Age,NAT,HT,WT,B,T,OVR,POT,SctAcc
48808,RP,DUSTY HIRT,,-,-,-,-,10/12/2005,22,USA,"5' 11""",190 lbs,Right,Right,30,70,Very High
50929,CL,RON LEWIS,,-,-,-,-,11/09/2008,19,USA,"5' 10""",175 lbs,Right,Right,20,70,Very High
48490,CL,CHRIS RAMSEY,,-,-,-,-,02/24/2006,22,USA,"6' 2""",200 lbs,Right,Right,25,70,Very High
56938,SP,BOB JACOBS,,-,-,-,-,11/12/2006,21,USA,"6' 2""",200 lbs,Right,Right,20,50,Very High
56746,SP,ERIC MARTIN,,-,-,-,-,01/02/2010,18,USA,"6' 2""",175 lbs,Right,Right,20,50,Very High
20803,SP,ELIJAH GREEN,,-,-,-,-,08/09/2010,17,USA,"6' 3""",175 lbs,Right,Right,20,45,Very High
56523,SP,NATE KENDALL,,-,-,-,-,04/29/2010,18,USA,"6' 2""",170 lbs,Right,Right,20,45,Very High
28256,SP,JONATHAN LARSON,,-,-,-,-,02/28/2010,18,USA,"6' 4""",185 lbs,Right,Right,20,45,Very High
56390,SP,DAN ROSSELLI,,-,-,-,-,03/24/2010,18,USA,"6' 4""",175 lbs,Right,Right,20,45,Very High
43607,SP,JOSH STUMP,,-,-,-,-,07/24/2006,21,USA,"6' 2""",195 lbs,Right,Left,20,45,Very High
57037,SP,ATAS THABET,,-,-,-,-,10/02/2006,21,USA,"6' 4""",205 lbs,Left,Left,20,45,Very High
56619,1B,JOSH BILL,,-,-,-,-,04/22/2010,18,USA,"6' 7""",200 lbs,Right,Right,20,40,Very High
44744,CF,CHRIS ADOLPHSON,,-,-,-,-,09/02/2006,21,USA,"6' 3""",190 lbs,Right,Right,20,35,Very High
23327,CF,SEAN CAPON,,-,-,-,-,11/22/2006,21,USA,"6' 1""",175 lbs,Right,Right,20,35,Very High
57708,CF,ERIC DYRLAND,,-,-,-,-,05/25/2009,18,USA,"6' 2""",165 lbs,Right,Right,20,35,High
57768,RF,STEVE HEADY,,-,-,-,-,08/10/2010,17,USA,"6' 6""",205 lbs,Left,Left,20,35,Very High
56251,SS,JONATHAN HEDGEPETH,,-,-,-,-,05/24/2006,21,USA,"6' 2""",185 lbs,Right,Right,20,35,Very High
56590,3B,BRAD HORNE,,-,-,-,-,12/06/2009,18,USA,"6' 4""",185 lbs,Right,Right,20,35,Very High
56843,SP,GABE HOWARD,,-,-,-,-,05/06/2006,21,USA,"6' 0""",175 lbs,Left,Left,20,35,Very High
56902,1B,JOSH MARTIN,,-,-,-,-,01/17/2010,18,USA,"6' 3""",200 lbs,Right,Right,20,35,Very High
56683,RF,RICK QUIROZ,,-,-,-,-,07/10/2009,18,PUR,"6' 2""",180 lbs,Left,Left,20,35,Very High
56962,3B,MIKE COMSTOCK,,-,-,-,-,02/18/2010,18,USA,"6' 1""",170 lbs,Right,Right,20,30,Very High
56548,LF,RUSTY TARDY,,-,-,-,-,06/03/2010,17,USA,"6' 5""",200 lbs,Right,Right,20,30,Very High
57063,C,ALEX GUERRA,,-,-,-,-,09/23/2010,17,USA,"6' 2""",180 lbs,Right,Right,20,25,Very High
56553,SP,ALAN CULLINS,,-,-,-,-,07/14/2009,18,USA,"6' 4""",185 lbs,Left,Left,20,40,Very High
